Année;Polluant;Fuel;Emissions;Type de véhicule
1995;du;GNV;0.0;Poids lours
1996;du;GNV;0.0;Poids lours
1997;du;GNV;0.0;Poids lours
1998;du;GNV;0.0;Poids lours
1999;du;GNV;0.0;Poids lours
2000;du;GNV;0.0;Poids lours
2001;du;GNV;0.0;Poids lours
2002;du;GNV;0.0;Poids lours
2003;du;GNV;0.0;Poids lours
2004;du;GNV;0.0;Poids lours
2005;du;GNV;0.0;Poids lours
2006;du;GNV;0.0;Poids lours
2007;du;GNV;0.0;Poids lours
2008;du;GNV;0.0;Poids lours
2009;du;GNV;0.0;Poids lours
1990;Cd;GNV;0.0;Poids lours
1991;Cd;GNV;0.0;Poids lours
1992;Cd;GNV;0.0;Poids lours
1993;Cd;GNV;0.0;Poids lours
1994;Cd;GNV;0.0;Poids lours
1995;Cd;GNV;0.0;Poids lours
1996;Cd;GNV;0.0;Poids lours
1997;Cd;GNV;0.0;Poids lours
1998;Cd;GNV;0.0;Poids lours
1999;Cd;GNV;0.0;Poids lours
2000;Cd;GNV;0.0;Poids lours
2001;Cd;GNV;0.0;Poids lours
2002;Cd;GNV;0.0;Poids lours
2003;Cd;GNV;0.0;Poids lours
2004;Cd;GNV;0.0;Poids lours
2005;Cd;GNV;0.0;Poids lours
2006;Cd;GNV;0.0;Poids lours
2007;Cd;GNV;0.0;Poids lours
2008;Cd;GNV;0.0;Poids lours
2009;Cd;GNV;0.0;Poids lours
1990;Cr;GNV;0.0;Poids lours
1991;Cr;GNV;0.0;Poids lours
1992;Cr;GNV;0.0;Poids lours
1993;Cr;GNV;0.0;Poids lours
1994;Cr;GNV;0.0;Poids lours
1995;Cr;GNV;0.0;Poids lours
1996;Cr;GNV;0.0;Poids lours
1997;Cr;GNV;0.0;Poids lours
1998;Cr;GNV;0.0;Poids lours
1999;Cr;GNV;0.0;Poids lours
2000;Cr;GNV;0.0;Poids lours
2001;Cr;GNV;0.0;Poids lours
2002;Cr;GNV;0.0;Poids lours
2003;Cr;GNV;0.0;Poids lours
2004;Cr;GNV;0.0;Poids lours
2005;Cr;GNV;0.0;Poids lours
2006;Cr;GNV;0.0;Poids lours
2007;Cr;GNV;0.0;Poids lours
2008;Cr;GNV;0.0;Poids lours
2009;Cr;GNV;0.0;Poids lours
1990;Cu;GNV;0.0;Poids lours
1991;Cu;GNV;0.0;Poids lours
1992;Cu;GNV;0.0;Poids lours
1993;Cu;GNV;0.0;Poids lours
1994;Cu;GNV;0.0;Poids lours
1995;Cu;GNV;0.0;Poids lours
1996;Cu;GNV;0.0;Poids lours
1997;Cu;GNV;0.0;Poids lours
1998;Cu;GNV;0.0;Poids lours
1999;Cu;GNV;0.0;Poids lours
2000;Cu;GNV;0.0;Poids lours
2001;Cu;GNV;0.0;Poids lours
2002;Cu;GNV;0.0;Poids lours
2003;Cu;GNV;0.0;Poids lours
2004;Cu;GNV;0.0;Poids lours
2005;Cu;GNV;0.0;Poids lours
2006;Cu;GNV;0.0;Poids lours
2007;Cu;GNV;0.0;Poids lours
2008;Cu;GNV;0.0;Poids lours
2009;Cu;GNV;0.0;Poids lours
1990;Pb;GNV;0.0;Poids lours
1991;Pb;GNV;0.0;Poids lours
1992;Pb;GNV;0.0;Poids lours
1993;Pb;GNV;0.0;Poids lours
1994;Pb;GNV;0.0;Poids lours
1995;Pb;GNV;0.0;Poids lours
1996;Pb;GNV;0.0;Poids lours
1997;Pb;GNV;0.0;Poids lours
1998;Pb;GNV;0.0;Poids lours
1999;Pb;GNV;0.0;Poids lours
2000;Pb;GNV;0.0;Poids lours
2001;Pb;GNV;0.0;Poids lours
2002;Pb;GNV;0.0;Poids lours
2003;Pb;GNV;0.0;Poids lours
2004;Pb;GNV;0.0;Poids lours
2005;Pb;GNV;0.0;Poids lours
2006;Pb;GNV;0.0;Poids lours
2007;Pb;GNV;0.0;Poids lours
2008;Pb;GNV;0.0;Poids lours
2009;Pb;GNV;0.0;Poids lours
1990;Zn;GNV;0.0;Poids lours
1991;Zn;GNV;0.0;Poids lours
1992;Zn;GNV;0.0;Poids lours
1993;Zn;GNV;0.002;Poids lours
1994;Zn;GNV;0.001;Poids lours
1995;Zn;GNV;0.001;Poids lours
1996;Zn;GNV;0.001;Poids lours
1997;Zn;GNV;0.001;Poids lours
1998;Zn;GNV;0.001;Poids lours
1999;Zn;GNV;0.001;Poids lours
2000;Zn;GNV;0.001;Poids lours
2001;Zn;GNV;0.02;Poids lours
2002;Zn;GNV;0.02;Poids lours
2003;Zn;GNV;0.03;Poids lours
2004;Zn;GNV;0.04;Poids lours
2005;Zn;GNV;0.04;Poids lours
2006;Zn;GNV;0.05;Poids lours
2007;Zn;GNV;0.06;Poids lours
2008;Zn;GNV;0.08;Poids lours
2009;Zn;GNV;0.08;Poids lours
1990;HAP;GNV;0.0;Poids lours
1991;HAP;GNV;0.0;Poids lours
1992;HAP;GNV;0.0;Poids lours
1993;HAP;GNV;0.0;Poids lours
1994;HAP;GNV;0.0;Poids lours
1995;HAP;GNV;0.0;Poids lours
