Année;Régions;Départements;Fuel;Nb_véhicules
2012;Bourgogne-Franche-Comté;Saône-et-Loire;Gazole;61407
2012;Bourgogne-Franche-Comté;Territoire de Belfort;Gazole;10366
2012;Bretagne;Ille-et-Vilaine;Gazole;107791
2012;Bretagne;Morbihan;Gazole;80571
2012;Bretagne;Côtes-d'Armor;Gazole;70646
2012;Bretagne;Finistère;Gazole;99772
2012;Centre-Val de Loire;Loir-et-Cher;Gazole;37695
2012;Centre-Val de Loire;Loiret;Gazole;70285
2012;Centre-Val de Loire;Indre-et-Loire;Gazole;63205
2012;Centre-Val de Loire;Eure-et-Loir;Gazole;45445
2012;Centre-Val de Loire;Indre;Gazole;27978
2012;Centre-Val de Loire;Cher;Gazole;33145
2012;Corse;Corse-du-Sud;Gazole;22530
2012;Corse;Haute-Corse;Gazole;24814
2012;Grand Est;Bas-Rhin;Gazole;94686
2012;Grand Est;Vosges;Gazole;38999
2012;Grand Est;Marne;Gazole;80901
2012;Grand Est;Meurthe-et-Moselle;Gazole;60434
2012;Grand Est;Haute-Marne;Gazole;19873
2012;Grand Est;Meuse;Gazole;19008
2012;Grand Est;Aube;Gazole;34582
2012;Grand Est;Haut-Rhin;Gazole;61744
2012;Grand Est;Moselle;Gazole;77089
2012;Grand Est;Ardennes;Gazole;25447
2012;Hauts-de-France;Somme;Gazole;52157
2012;Hauts-de-France;Nord;Gazole;181712
2012;Hauts-de-France;Oise;Gazole;97368
2012;Hauts-de-France;Aisne;Gazole;50610
2012;Hauts-de-France;Pas-de-Calais;Gazole;107487
2012;Normandie;Eure;Gazole;57011
2012;Normandie;Orne;Gazole;35551
2012;Normandie;Manche;Gazole;57393
2012;Normandie;Seine-Maritime;Gazole;135380
2012;Normandie;Calvados;Gazole;70564
2012;Nouvelle-Aquitaine;Landes;Gazole;44807
2012;Nouvelle-Aquitaine;Pyrénées-Atlantiques;Gazole;70147
2012;Nouvelle-Aquitaine;Dordogne;Gazole;52768
2012;Nouvelle-Aquitaine;Vienne;Gazole;46512
2012;Nouvelle-Aquitaine;Gironde;Gazole;153174
2012;Nouvelle-Aquitaine;Deux-Sèvres;Gazole;50010
2012;Nouvelle-Aquitaine;Haute-Vienne;Gazole;37904
2012;Nouvelle-Aquitaine;Creuse;Gazole;15423
2012;Nouvelle-Aquitaine;Corrèze;Gazole;29214
2012;Nouvelle-Aquitaine;Lot-et-Garonne;Gazole;42601
2012;Nouvelle-Aquitaine;Charente;Gazole;40630
2012;Nouvelle-Aquitaine;Charente-Maritime;Gazole;73532
2012;Occitanie;Hérault;Gazole;109246
2012;Occitanie;Pyrénées-Orientales;Gazole;42835
2012;Occitanie;Tarn;Gazole;39730
2012;Occitanie;Ariège;Gazole;16967
2012;Occitanie;Gard;Gazole;79021
2012;Occitanie;Aveyron;Gazole;38593
2012;Occitanie;Haute-Garonne;Gazole;120597
2012;Occitanie;Lot;Gazole;23502
2012;Occitanie;Aude;Gazole;39478
2012;Occitanie;Tarn-et-Garonne;Gazole;29929
2012;Occitanie;Hautes-Pyrénées;Gazole;24021
