Année;Régions;Départements;Fuel;Nb_véhicules
2012;Occitanie;Gers;Essence+Superéthanol;24623
2012;Occitanie;Lozère;Essence+Superéthanol;10041
2012;Pays de la Loire;Vendée;Essence+Superéthanol;103099
2012;Pays de la Loire;Mayenne;Essence+Superéthanol;39688
2012;Pays de la Loire;Sarthe;Essence+Superéthanol;88044
2012;Pays de la Loire;Maine-et-Loire;Essence+Superéthanol;117643
2012;Pays de la Loire;Loire-Atlantique;Essence+Superéthanol;238644
2012;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Essence+Superéthanol;301377
2012;Provence-Alpes-Côte d'Azur;Vaucluse;Essence+Superéthanol;103806
2012;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;Essence+Superéthanol;386846
2012;Provence-Alpes-Côte d'Azur;Hautes-Alpes;Essence+Superéthanol;24018
2012;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Essence+Superéthanol;28783
2012;Provence-Alpes-Côte d'Azur;Var;Essence+Superéthanol;245198
2012;Île-de-France;Essonne;Essence+Superéthanol;248413
2012;Île-de-France;Val-d'Oise;Essence+Superéthanol;223108
2012;Île-de-France;Seine-et-Marne;Essence+Superéthanol;232071
2012;Île-de-France;Seine-Saint-Denis;Essence+Superéthanol;201954
2012;Île-de-France;Paris;Essence+Superéthanol;338109
2012;Île-de-France;Hauts-de-Seine;Essence+Superéthanol;324636
2012;Île-de-France;Val-de-Marne;Essence+Superéthanol;250200
2012;Île-de-France;Yvelines;Essence+Superéthanol;350605
2013;Auvergne-Rhône-Alpes;Ain;Essence+Superéthanol;112287
2013;Auvergne-Rhône-Alpes;Allier;Essence+Superéthanol;55694
2013;Auvergne-Rhône-Alpes;Haute-Loire;Essence+Superéthanol;31272
2013;Auvergne-Rhône-Alpes;Savoie;Essence+Superéthanol;76546
2013;Auvergne-Rhône-Alpes;Rhône;Essence+Superéthanol;315335
2013;Auvergne-Rhône-Alpes;Ardèche;Essence+Superéthanol;50866
2013;Auvergne-Rhône-Alpes;Puy-de-Dôme;Essence+Superéthanol;105836
2013;Auvergne-Rhône-Alpes;Haute-Savoie;Essence+Superéthanol;180327
2013;Auvergne-Rhône-Alpes;Loire;Essence+Superéthanol;116677
2013;Auvergne-Rhône-Alpes;Drôme;Essence+Superéthanol;84669
2013;Auvergne-Rhône-Alpes;Cantal;Essence+Superéthanol;19557
2013;Auvergne-Rhône-Alpes;Isère;Essence+Superéthanol;226323
2013;Bourgogne-Franche-Comté;Doubs;Essence+Superéthanol;93988
2013;Bourgogne-Franche-Comté;Côte-d'Or;Essence+Superéthanol;90131
2013;Bourgogne-Franche-Comté;Haute-Saône;Essence+Superéthanol;34364
2013;Bourgogne-Franche-Comté;Yonne;Essence+Superéthanol;50494
2013;Bourgogne-Franche-Comté;Jura;Essence+Superéthanol;41296
2013;Bourgogne-Franche-Comté;Nièvre;Essence+Superéthanol;33273
2013;Bourgogne-Franche-Comté;Saône-et-Loire;Essence+Superéthanol;92251
2013;Bourgogne-Franche-Comté;Territoire de Belfort;Essence+Superéthanol;27077
2013;Bretagne;Ille-et-Vilaine;Essence+Superéthanol;146941
2013;Bretagne;Morbihan;Essence+Superéthanol;113046
2013;Bretagne;Côtes-d'Armor;Essence+Superéthanol;87063
2013;Bretagne;Finistère;Essence+Superéthanol;148418
2013;Centre-Val de Loire;Loir-et-Cher;Essence+Superéthanol;50892
2013;Centre-Val de Loire;Loiret;Essence+Superéthanol;111796
2013;Centre-Val de Loire;Indre-et-Loire;Essence+Superéthanol;99221
2013;Centre-Val de Loire;Eure-et-Loir;Essence+Superéthanol;67841
2013;Centre-Val de Loire;Indre;Essence+Superéthanol;29592
2013;Centre-Val de Loire;Cher;Essence+Superéthanol;47204
2013;Corse;Corse-du-Sud;Essence+Superéthanol;40322
2013;Corse;Haute-Corse;Essence+Superéthanol;37426
2013;Grand Est;Bas-Rhin;Essence+Superéthanol;203838
2013;Grand Est;Vosges;Essence+Superéthanol;57144
2013;Grand Est;Marne;Essence+Superéthanol;111697
2013;Grand Est;Meurthe-et-Moselle;Essence+Superéthanol;120130
